Name,Job,Salary
"Engineer, land","Designer, multimedia",32
Equities trader,Best boy,22
Maintenance engineer,Architect,25
"Teacher, adult education",Art therapist,32
"Accountant, chartered certified",Soil scientist,29
Food technologist,Hydrogeologist,23
Research scientist (life sciences),"Librarian, public",30
Television production assistant,Horticultural consultant,29
Management consultant,Advertising art director,30
Consulting civil engineer,Sales executive,18
Clinical molecular geneticist,Quality manager,31
Occupational psychologist,Applications developer,22
Information officer,Public house manager,18
"Programmer, applications",Sports development officer,23
Charity fundraiser,Media planner,30
"Accountant, chartered public finance",Sports therapist,30
Medical technical officer,Advertising account planner,29
Clinical psychologist,Media buyer,26
Youth worker,Set designer,23
Psychiatrist,"Scientist, clinical (histocompatibility and immunogenetics)",21
Financial adviser,Music therapist,20
Industrial buyer,Neurosurgeon,31
Social researcher,Pension scheme manager,15
"Scientist, research (physical sciences)",Physiological scientist,26
Energy manager,Barista,31
Logistics and distribution manager,Patent attorney,21
IT consultant,Chartered legal executive (England and Wales),29
Retail banker,"Therapist, nutritional",21
Tax adviser,"Conservator, furniture",31
"Programmer, applications",Wellsite geologist,26
"Teacher, early years/pre",Research scientist (medical),30
Tourist information centre manager,Solicitor,17
Electronics engineer,"Psychologist, forensic",30
Psychiatrist,Air traffic controller,20
"Investment banker, corporate",Community pharmacist,18
Freight forwarder,Volunteer coordinator,16
Fish farm manager,"Engineer, water",23
Financial adviser,"Producer, radio",21
Psychiatric nurse,Biomedical scientist,20
"Teacher, music",Food technologist,28
"Scientist, water quality",Dentist,15
Community pharmacist,Theatre manager,24
Dramatherapist,Herpetologist,29
Insurance account manager,Industrial buyer,15
Warden/ranger,Magazine features editor,22
Osteopath,Plant breeder/geneticist,19
"Accountant, chartered certified",Operations geologist,16
Intelligence analyst,"Copywriter, advertising",30
"Designer, blown glass/stained glass",Technical author,19
Fisheries officer,Audiological scientist,20
Dancer,Aid worker,19
"Scientist, research (medical)",Video editor,28
Merchant navy officer,Mudlogger,27
Commissioning editor,Automotive engineer,18
Geoscientist,Lawyer,24
Primary school teacher,Insurance broker,16
Clothing/textile technologist,Conference centre manager,27
Prison officer,Biomedical engineer,20
"Psychologist, educational","Administrator, local government",21
Geochemist,Art gallery manager,31
Consulting civil engineer,Hotel manager,17
"Engineer, manufacturing systems",Marine scientist,16
"Teacher, secondary school",Learning disability nurse,16
"Administrator, Civil Service",Artist,16
"Education officer, community","Geologist, engineering",26
Accounting technician,"Pharmacist, community",25
"Engineer, control and instrumentation",Ceramics designer,25
"Engineer, control and instrumentation","Doctor, hospital",19
Pharmacologist,Psychiatrist,29
Banker,"Therapist, sports",27
Field trials officer,Speech and language therapist,25
Rural practice surveyor,"Biochemist, clinical",18
Print production planner,Nutritional therapist,18
Dance movement psychotherapist,Research scientist (physical sciences),24
Technical author,Accounting technician,30
Film/video editor,"Doctor, hospital",26
"Surveyor, building control",Armed forces operational officer,27
"Teacher, secondary school",Town planner,21
Horticultural therapist,Manufacturing systems engineer,26
Ranger/warden,Occupational hygienist,27
"Administrator, Civil Service","Geologist, wellsite",25
Magazine features editor,"Accountant, chartered public finance",26
Public affairs consultant,Public affairs consultant,28
Cytogeneticist,Architectural technologist,22
"Surveyor, commercial/residential",Equality and diversity officer,17
"Psychologist, prison and probation services",Sports development officer,22
"Surveyor, planning and development",Illustrator,21
"Horticulturist, amenity",Rural practice surveyor,19
Academic librarian,Trade union research officer,16
"Librarian, academic",Camera operator,22
Psychiatrist,"Therapist, horticultural",30
Rural practice surveyor,Agricultural consultant,19
Advice worker,Economist,20
Osteopath,Media planner,20
Geographical information systems officer,Immigration officer,18
Architectural technologist,"Engineer, electronics",27
Structural engineer,"Editor, commissioning",21
Financial planner,Dispensing optician,21
"Therapist, music",Commercial/residential surveyor,27
Insurance account manager,Insurance risk surveyor,17
"Surveyor, minerals",Forensic psychologist,20
Tax adviser,"Biochemist, clinical",30
Accommodation manager,Energy engineer,15
Commissioning editor,Education administrator,16
"Embryologist, clinical",Environmental consultant,15
Product/process development scientist,Commercial horticulturist,29
Art therapist,Solicitor,20
Geochemist,Pathologist,17
