4,Integer
Investment analyst,55
"Surveyor, insurance",144
Optometrist,30
Bookseller,105
Technical sales engineer,84
Economist,240
"Surveyor, commercial/residential",298
Museum/gallery curator,66
Education administrator,173
Human resources officer,54
"Engineer, production",171
Camera operator,33
Associate Professor,46
Science writer,31
Special effects artist,240
"Engineer, manufacturing systems",71
Exercise physiologist,236
Land/geomatics surveyor,310
Arts administrator,50
Stage manager,38
"Surveyor, hydrographic",172
Corporate investment banker,292
"Doctor, hospital",120
Environmental consultant,52
Logistics and distribution manager,154
Public affairs consultant,152
Geophysical data processor,299
Exhibition designer,241
Jewellery designer,50
Sports administrator,46
"Production designer, theatre/television/film",32
"Buyer, industrial",165
Management consultant,88
Naval architect,149
Haematologist,148
Careers adviser,115
"Nurse, adult",173
Magazine journalist,142
"Therapist, sports",51
Financial controller,165
Museum education officer,91
Materials engineer,308
"Surveyor, land/geomatics",254
"Teacher, English as a foreign language",55
"Scientist, research (life sciences)",210
Field seismologist,193
Art gallery manager,203
Risk manager,21
Print production planner,220
Tour manager,192
Counsellor,15
"Engineer, building services",230
"Librarian, academic",170
"Conservation officer, nature",296
"Designer, graphic",75
Advertising account planner,15
Air traffic controller,247
Catering manager,189
Broadcast presenter,105
Sales promotion account executive,318
"Scientist, audiological",223
Academic librarian,23
Bookseller,288
Energy engineer,85
Chartered loss adjuster,292
Actor,254
"Teacher, English as a foreign language",131
"Geneticist, molecular",30
Paramedic,46
Brewing technologist,82
Chemical engineer,286
Intelligence analyst,22
Cabin crew,77
Clinical embryologist,265
Architectural technologist,256
Research scientist (medical),176
"Copywriter, advertising",299
Sub,278
"Psychologist, occupational",196
Best boy,92
Politician's assistant,137
"Psychologist, educational",79
Seismic interpreter,220
Corporate treasurer,28
Systems developer,269
Academic librarian,315
IT trainer,47
Purchasing manager,131
"Surveyor, building",169
Landscape architect,178
Information officer,300
Haematologist,188
Television floor manager,49
"Lecturer, further education",59
Plant breeder/geneticist,198
Electrical engineer,96
English as a foreign language teacher,294
"Pilot, airline",228
Archaeologist,269
"Programmer, multimedia",306
"Psychologist, educational",254
"Designer, exhibition/display",204
Ceramics designer,143
Minerals surveyor,258
Plant breeder/geneticist,166
Media planner,22
Medical physicist,278
Private music teacher,58
Communications engineer,237
Educational psychologist,184
Dance movement psychotherapist,113
